,State,Region Type,Region,City,Property Type,Period Begin,Median Sale Price,Year
27418,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2017,947000.0,2017
27949,California,Place/City,"Fremont, CA",Fremont,All Residential,4/1/2015,765000.0,2015
28407,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2016,870000.0,2016
28486,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2017,870000.0,2017
28556,California,Place/City,"Fremont, CA",Fremont,All Residential,5/1/2017,911000.0,2017
29028,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2018,942000.0,2018
29226,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2015,786000.0,2015
29733,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2016,816000.0,2016
29930,California,Place/City,"Fremont, CA",Fremont,All Residential,8/1/2017,930000.0,2017
29983,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2017,1015000.0,2017
30060,California,Place/City,"Fremont, CA",Fremont,All Residential,1/1/2018,1008000.0,2018
30105,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2018,1121000.0,2018
30274,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2018,1100000.0,2018
30303,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2018,1024000.0,2018
