City,Year,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
OCEANSIDE,2018,309,3,33,72,201,"1,845",258,"1,346",241,12
ONTARIO,2017,309,3,59,96,151,"2,218",344,"1,431",443,10
ONTARIO,2018,311,4,57,109,141,"2,329",340,"1,479",510,17
ORANGE,2017,123,1,6,37,79,"1,292",216,873,203,9
ORANGE,2018,91,2,1,44,44,"1,232",239,852,141,7
OXNARD,2017,464,10,34,223,197,"2,695",412,"1,897",386,24
OXNARD,2018,426,8,31,195,192,"2,591",351,"1,831",409,20
PALMDALE,2017,342,2,22,126,192,"1,278",270,801,207,12
PALMDALE,2018,325,3,22,84,216,"1,203",287,692,224,9
PASADENA,2017,285,5,19,120,141,"1,558",392,960,206,22
PASADENA,2018,236,2,21,75,138,"1,447",349,934,164,10
POMONA,2017,423,10,48,181,184,"2,222",349,"1,299",574,13
POMONA,2018,443,9,44,180,210,"2,370",413,"1,429",528,17
RANCHO CUCAMONGA,2017,147,0,24,49,74,"2,120",436,"1,504",180,1
RANCHO CUCAMONGA,2018,133,1,22,52,58,"1,891",366,"1,331",194,8
RIALTO5,2017,188,2,9,75,102,842,229,314,299,2
RIALTO5,2018,243,2,26,87,128,"1,408",226,872,310,7
RICHMOND,2017,516,7,25,218,266,"2,134",402,"1,105",627,23
RICHMOND,2018,500,7,11,189,293,"2,057",126,"1,072",859,18
RIVERSIDE,2017,792,6,78,253,455,"5,269",926,"3,431",912,38
RIVERSIDE,2018,801,9,73,271,448,"5,199",754,"3,552",893,35
ROSEVILLE,2017,109,0,11,40,58,"1,706",180,"1,369",157,8
ROSEVILLE,2018,123,2,14,59,48,"1,716",228,"1,341",147,3
SACRAMENTO,2017,"1,678",21,53,541,"1,063","7,312","1,495","4,519","1,298",98
SACRAMENTO,2018,"1,606",17,54,491,"1,044","7,649","1,348","4,887","1,414",62
SALINAS,2017,508,18,39,172,279,"2,347",439,"1,187",721,9
SALINAS,2018,484,9,54,156,265,"2,145",495,"1,069",581,13
SAN BERNARDINO,2017,"1,410",20,83,400,907,"4,053","1,040","1,897","1,116",32
SAN BERNARDINO,2018,"1,417",21,86,461,849,"4,095","1,111","1,970","1,014",32
SAN DIEGO,2017,"2,515",17,265,694,"1,539","13,173","2,032","8,552","2,589",81
SAN DIEGO,2018,"2,630",18,310,653,"1,649","12,983","1,798","8,698","2,487",91
SAN FRANCISCO,2017,"3,069",34,187,"1,599","1,249","27,654","2,568","22,449","2,637",151
SAN FRANCISCO,2018,"3,060",21,185,"1,521","1,333","23,559","2,583","18,998","1,978",126
SAN JOSE,2017,"1,916",15,299,604,998,"12,528","1,973","6,463","4,092",84
SAN JOSE,2018,"2,077",15,257,788,"1,017","13,018","2,253","6,468","4,297",71
SAN MATEO,2017,122,0,9,26,87,"1,004",299,614,91,2
SAN MATEO,2018,136,0,6,40,90,"1,076",346,618,112,3
SANTA ANA,2017,787,10,85,304,388,"3,769",459,"2,176","1,134",33
SANTA ANA,2018,727,10,78,247,392,"3,075",418,"1,877",780,27
SANTA CLARA,2017,88,0,17,22,49,"1,538",161,"1,181",196,4
SANTA CLARA,2018,103,0,26,36,41,"1,620",185,"1,218",217,4
SANTA CLARITA,2017,173,2,19,59,93,"1,637",343,"1,080",214,6
SANTA CLARITA,2018,169,3,23,54,89,"1,295",310,832,153,15
SANTA MARIA,2017,224,0,25,72,127,"1,218",218,629,371,4
SANTA MARIA,2018,238,2,28,73,135,"1,032",179,529,324,10
SANTA ROSA,2017,375,4,58,60,253,"1,567",253,"1,119",195,8
SANTA ROSA,2018,389,3,81,64,241,"1,556",256,"1,096",204,14
SIMI VALLEY,2017,81,0,9,16,56,917,161,678,78,2
SIMI VALLEY,2018,110,0,25,31,54,802,112,618,72,0
STOCKTON,2017,"2,120",19,69,578,"1,454","5,765","1,146","3,548","1,071",70
STOCKTON,2018,"2,045",15,93,559,"1,378","5,624","1,158","3,435","1,031",82
SUNNYVALE,2017,80,1,13,27,39,"1,251",247,865,139,8
SUNNYVALE,2018,116,0,23,37,56,"1,265",201,862,202,1
TEMECULA,2017,56,0,2,18,36,"1,436",204,"1,083",149,0
TEMECULA,2018,65,0,0,29,36,"1,334",213,973,148,0
THOUSAND OAKS,2017,73,0,22,11,40,837,137,626,74,6
THOUSAND OAKS,2018,51,2,13,13,23,707,104,545,58,2
TORRANCE,2017,146,0,17,57,72,"1,546",302,999,245,8
TORRANCE,2018,125,1,11,55,58,"1,353",238,978,137,7
VALLEJO,2017,541,10,46,187,298,"2,369","1,256",603,510,20
VALLEJO,2018,474,4,42,170,258,"2,024","1,069",490,465,20
VENTURA,2017,231,1,31,56,143,"1,822",297,"1,332",193,10
VENTURA,2018,223,1,31,48,143,"1,728",274,"1,302",152,26
VICTORVILLE,2017,417,8,29,128,252,"1,700",402,968,330,27
VICTORVILLE,2018,389,5,25,126,233,"1,404",334,720,350,14
VISALIA,2017,245,6,36,79,124,"2,129",470,"1,342",317,8
VISALIA,2018,215,1,45,68,101,"2,048",359,"1,432",257,7
VISTA,2017,189,4,22,54,109,746,159,460,127,7
VISTA,2018,155,1,21,41,92,735,138,445,152,0
WEST COVINA,2017,150,0,20,75,55,"1,266",259,811,196,6
WEST COVINA,2018,128,0,7,72,49,"1,262",198,885,179,3
