,State,County,City,Median Sale Price,Date,Month,Year,Region
28924,California,"San Mateo, CA",San Mateo,1375000,7/1/2018,7,2018,"San Mateo County, CA"
28932,California,"Napa, CA",Napa,683000,8/1/2018,8,2018,"Napa County, CA"
29210,California,"San Francisco, CA",San Francisco,1150000,2/1/2015,2,2015,"San Francisco County, CA"
29482,California,"Napa, CA",Napa,630000,2/1/2016,2,2016,"Napa County, CA"
29586,California,"San Mateo, CA",San Mateo,1155000,6/1/2016,6,2016,"San Mateo County, CA"
29587,California,"San Francisco, CA",San Francisco,1248000,6/1/2016,6,2016,"San Francisco County, CA"
29618,California,"San Francisco, CA",San Francisco,1210000,7/1/2016,7,2016,"San Francisco County, CA"
29730,California,"Napa, CA",Napa,573000,12/1/2016,12,2016,"Napa County, CA"
29894,California,"San Mateo, CA",San Mateo,1244000,6/1/2017,6,2017,"San Mateo County, CA"
29917,California,"San Mateo, CA",San Mateo,1309000,7/1/2017,7,2017,"San Mateo County, CA"
29997,California,"San Francisco, CA",San Francisco,1323000,10/1/2017,10,2017,"San Francisco County, CA"
30048,California,"San Francisco, CA",San Francisco,1300000,12/1/2017,12,2017,"San Francisco County, CA"
30059,California,"Napa, CA",Napa,649000,1/1/2018,1,2018,"Napa County, CA"
30241,California,"San Mateo, CA",San Mateo,1500000,8/1/2018,8,2018,"San Mateo County, CA"
30268,California,"San Mateo, CA",San Mateo,1600000,9/1/2018,9,2018,"San Mateo County, CA"
