,Year,County,Unemployment Rate,Region
101,2010,Santa Cruz,13.31666667,"Santa Cruz County, CA"
102,2010,Shasta,16.78333333,"Shasta County, CA"
103,2010,Sierra,15.425,"Sierra County, CA"
104,2010,Siskiyou,16.84166667,"Siskiyou County, CA"
105,2010,Solano,12.575,"Solano County, CA"
106,2010,Sonoma,10.85,"Sonoma County, CA"
107,2010,Stanislaus,16.9,"Stanislaus County, CA"
108,2010,Sutter,18.38333333,"Sutter County, CA"
109,2010,Tehama,15.41666667,"Tehama County, CA"
110,2010,Trinity,17.04166667,"Trinity County, CA"
111,2010,Tulare,17.20833333,"Tulare County, CA"
112,2010,Tuolumne,15.23333333,"Tuolumne County, CA"
113,2010,Ventura,10.84166667,"Ventura County, CA"
114,2010,Yolo,12.1,"Yolo County, CA"
115,2010,Yuba,17.75833333,"Yuba County, CA"
116,2011,Alameda,10.08333333,"Alameda County, CA"
117,2011,Alpine,13.125,"Alpine County, CA"
118,2011,Amador,13.61666667,"Amador County, CA"
119,2011,Butte,13.68333333,"Butte County, CA"
120,2011,Calaveras,14.01666667,"Calaveras County, CA"
121,2011,Colusa,21.45833333,"Colusa County, CA"
122,2011,Contra Costa,10.29166667,"Contra Costa County, CA"
123,2011,Del Norte,13.30833333,"Del Norte County, CA"
124,2011,El Dorado,11.7,"El Dorado County, CA"
125,2011,Fresno,16.53333333,"Fresno County, CA"
126,2011,Glenn,15.51666667,"Glenn County, CA"
127,2011,Humboldt,10.56666667,"Humboldt County, CA"
128,2011,Imperial,28.85,"Imperial County, CA"
129,2011,Inyo,9.708333333,"Inyo County, CA"
130,2011,Kern,14.83333333,"Kern County, CA"
131,2011,Kings,15.90833333,"Kings County, CA"
132,2011,Lake,14.53333333,"Lake County, CA"
133,2011,Lassen,13.54166667,"Lassen County, CA"
134,2011,Los Angeles,24.38333333,"Los Angeles County, CA"
135,2011,Madera,16.18333333,"Madera County, CA"
136,2011,Marin,7.258333333,"Marin County, CA"
137,2011,Mariposa,13.25,"Mariposa County, CA"
138,2011,Mendocino,11.4,"Mendocino County, CA"
139,2011,Merced,17.65,"Merced County, CA"
140,2011,Modoc,16.01666667,"Modoc County, CA"
141,2011,Mono,10.13333333,"Mono County, CA"
142,2011,Monterey,12.76666667,"Monterey County, CA"
143,2011,Napa,9.775,"Napa County, CA"
144,2011,Nevada,11.075,"Nevada County, CA"
145,2011,Orange,0,"Orange County, CA"
146,2011,Placer,10.825,"Placer County, CA"
147,2011,Plumas,17.65833333,"Plumas County, CA"
148,2011,Riverside,13.16666667,"Riverside County, CA"
149,2011,Sacramento,12.10833333,"Sacramento County, CA"
150,2011,San Benito,14.51666667,"San Benito County, CA"
151,2011,San Bernardino,12.86666667,"San Bernardino County, CA"
152,2011,San Diego,10.30833333,"San Diego County, CA"
153,2011,San Francisco,8.05,"San Francisco County, CA"
154,2011,San Joaquin,16.18333333,"San Joaquin County, CA"
155,2011,San Luis Obispo,9.575,"San Luis Obispo County, CA"
156,2011,San Mateo,7.516666667,"San Mateo County, CA"
157,2011,Santa Barbara,9.391666667,"Santa Barbara County, CA"
158,2011,Santa Clara,9.3,"Santa Clara County, CA"
159,2011,Santa Cruz,13.08333333,"Santa Cruz County, CA"
160,2011,Shasta,15.94166667,"Shasta County, CA"
161,2011,Sierra,14.9,"Sierra County, CA"
162,2011,Siskiyou,16.975,"Siskiyou County, CA"
163,2011,Solano,12.16666667,"Solano County, CA"
164,2011,Sonoma,10.25,"Sonoma County, CA"
165,2011,Stanislaus,16.5,"Stanislaus County, CA"
166,2011,Sutter,18.16666667,"Sutter County, CA"
