SchoolName,SchoolId,RankYear,county,SchoolDistrict,city,zip,level,score,rank
California Academy of Mathematics and Science,062250009901,2008,Los Angeles,Long Beach Unified,Carson,90747,High,98.90414,1
Literacy First Charter,069103010374,2008,San Diego,San Diego County Office Of Education,El Cajon,92020,Alternative,98.1715,2
Whitney (Gretchen) High,060162000029,2008,Los Angeles,ABC Unified,Cerritos,90703,High,97.05261,3
Oxford Academy,060263007580,2008,Orange,Anaheim Union High,Cypress,90630,High,96.91441,4
Lowell High,063441005643,2008,San Francisco,San Francisco Unified,San Francisco,94132,High,95.70275,5
Saratoga High,062280003487,2008,Santa Clara,Los Gatos-Saratoga Joint Union High,Saratoga,95070,High,94.88144,6
Troy High,061476001816,2008,Orange,Fullerton Joint Union High,Fullerton,92831,High,94.27841,7
University High,068450007067,2008,Orange,Irvine Unified,Irvine,92612,High,92.96948,8
San Marino High,063486005886,2008,Los Angeles,San Marino Unified,San Marino,91108,High,92.75954,9
American Indian Public High,062805011563,2008,Alameda,Oakland Unified,Oakland,94607,High,92.58357,10
