SchoolName,SchoolId,RankYear,county,SchoolDistrict,city,zip,level,score,rank
California Academy of Mathematics and Science,062250009901,2009,Los Angeles,Long Beach Unified,Carson,90747,High,98.44819,1
American Indian Public High,062805011563,2009,Alameda,Oakland Unified,Oakland,94607,High,97.02552,2
Oakland Charter High,062805012041,2009,Alameda,Oakland Unified,Oakland,94601,High,96.80387,3
Whitney (Gretchen) High,060162000029,2009,Los Angeles,ABC Unified,Cerritos,90703,High,96.6767,4
San Marino High,063486005886,2009,Los Angeles,San Marino Unified,San Marino,91108,High,92.67671,5
Saratoga High,062280003487,2009,Santa Clara,Los Gatos-Saratoga Joint Union High,Saratoga,95070,High,91.52108,6
Troy High,061476001816,2009,Orange,Fullerton Joint Union High,Fullerton,92831,High,91.20521,7
Monte Vista High,063513005952,2009,Contra Costa,San Ramon Valley Unified,Danville,94526,High,91.15251,8
Crescenta Valley High,061524001923,2009,Los Angeles,Glendale Unified,La Crescenta,91214,High,91.06395,9
Fountain Valley High,061806002228,2009,Orange,Huntington Beach Union High,Fountain Valley,92708,High,90.96159,10
