SchoolName,SchoolId,RankYear,county,SchoolDistrict,city,zip,level,score,rank
Middle College High,063459008633,2013,Santa Clara,San Jose Unified,San Jose,95128,High,97.41,1
California Academy of Mathematics and Science,062250009901,2013,Los Angeles,Long Beach Unified,Carson,90747,High,96.47575,2
Oxford Academy,060263007580,2013,Orange,Anaheim Union High,Cypress,90630,High,96.38886,3
Whitney (Gretchen) High,060162000029,2013,Los Angeles,ABC Unified,Cerritos,90703,High,96.16038,4
Northcoast Preparatory and Performing Arts Academy,069100911934,2013,Humboldt,Humboldt County Office Of Education,Arcata,95521,Alternative,94.22079,5
Lowell High,063441005643,2013,San Francisco,San Francisco Unified,San Francisco,94132,High,94.01957,6
Yorba Linda High,063066012429,2013,Orange,Placentia-Yorba Linda Unified,Yorba Linda,92886,High,93.99785,7
Northwood High,068450008251,2013,Orange,Irvine Unified,Irvine,92620,High,93.74954,8
San Marino High,063486005886,2013,Los Angeles,San Marino Unified,San Marino,91108,High,93.60519,9
Oakland Charter High,062805012041,2013,Alameda,Oakland Unified,Oakland,94601,High,93.20248,10
