SchoolName,SchoolId,RankYear,county,SchoolDistrict,city,zip,level,score,rank
California Academy of Mathematics and Science,062250009901,2011,Los Angeles,Long Beach Unified,Carson,90747,High,98.22357,1
Middle College High,063459008633,2011,Santa Clara,San Jose Unified,San Jose,95128,High,96.9795,2
Whitney (Gretchen) High,060162000029,2011,Los Angeles,ABC Unified,Cerritos,90703,High,96.45219,3
American Indian Public High,062805011563,2011,Alameda,Oakland Unified,Oakland,94607,High,95.9562,4
Oxford Academy,060263007580,2011,Orange,Anaheim Union High,Cypress,90630,High,95.75704,5
Oakland Charter High,062805012041,2011,Alameda,Oakland Unified,Oakland,94601,High,94.44219,6
Guidance Charter,062958010531,2011,Los Angeles,Palmdale Elementary,Palmdale,93550,Alternative,94.289,7
Northwood High,068450008251,2011,Orange,Irvine Unified,Irvine,92620,High,94.19261,8
Technology High,060994010688,2011,Sonoma,Cotati-Rohnert Park Unified,Rohnert Park,94928,High,93.95926,9
Lowell High,063441005643,2011,San Francisco,San Francisco Unified,San Francisco,94132,High,93.49125,10
