SchoolName,SchoolId,RankYear,county,SchoolDistrict,city,zip,level,score,rank
California Academy of Mathematics and Science,062250009901,2010,Los Angeles,Long Beach Unified,Carson,90747,High,98.5201,1
American Indian Public High,062805011563,2010,Alameda,Oakland Unified,Oakland,94607,High,98.00024,2
Oakland Charter High,062805012041,2010,Alameda,Oakland Unified,Oakland,94601,High,96.94214,3
Whitney (Gretchen) High,060162000029,2010,Los Angeles,ABC Unified,Cerritos,90703,High,96.17512,4
Oxford Academy,060263007580,2010,Orange,Anaheim Union High,Cypress,90630,High,96.04144,5
Northcoast Preparatory and Performing Arts Academy,069100911934,2010,Humboldt,Humboldt County Office Of Education,Arcata,95521,Alternative,95.23816,6
Lowell High,063441005643,2010,San Francisco,San Francisco Unified,San Francisco,94132,High,95.07941,7
Monta Vista High,061443001699,2010,Santa Clara,Fremont Union High,Cupertino,95014,High,94.60609,8
Saratoga High,062280003487,2010,Santa Clara,Los Gatos-Saratoga Joint Union High,Saratoga,95070,High,94.3985,9
Troy High,061476001816,2010,Orange,Fullerton Joint Union High,Fullerton,92831,High,94.08122,10
