SchoolName,SchoolId,RankYear,county,SchoolDistrict,city,zip,level,score,rank
Literacy First Charter,069103010374,2007,San Diego,San Diego County Office Of Education,El Cajon,92020,Alternative,99.185,1
California Academy of Mathematics and Science,062250009901,2007,Los Angeles,Long Beach Unified,Carson,90747,High,98.689,2
Whitney (Gretchen) High,060162000029,2007,Los Angeles,ABC Unified,Cerritos,90703,High,97.74357,3
Lowell High,063441005643,2007,San Francisco,San Francisco Unified,San Francisco,94132,High,97.72364,4
Oxford Academy,060263007580,2007,Orange,Anaheim Union High,Cypress,90630,High,97.2947,5
San Marino High,063486005886,2007,Los Angeles,San Marino Unified,San Marino,91108,High,96.99275,6
American Indian Public High,062805011563,2007,Alameda,Oakland Unified,Oakland,94607,High,96.89967,7
Acalanes High,060165000032,2007,Contra Costa,Acalanes Union High,Lafayette,94549,High,94.99044,8
William & Marian Ghidotti High,062688011700,2007,Nevada,Nevada Joint Union High,Grass Valley,95945,High,94.4606,9
Mission San Jose High,061440001678,2007,Alameda,Fremont Unified,Fremont,94539,High,94.37672,10
